gem_location_id,plant_name,province,latitude,longitude,treated,pilot,cohort_year,year,q,yq,so2_mean,so2_median,n_valid_days,so2_std
L100000101277,Fugu Miaogoumen power station,Shaanxi,39.208319,110.784956,0,,0,2019,1,2019Q1,0.0092458344064652,0.0216666543856262,40,0.4626819914868368
L100000101278,Jinjie power station,Shaanxi,38.7368389,110.1661297,0,,0,2019,1,2019Q1,0.0628333364214216,0.0816666632890701,35,0.4228598661441836
L100000101297,Yulin Hengshan power station,Shaanxi,38.03372,109.415067,0,,0,2019,1,2019Q1,0.0756313172874577,0.0183333307504653,33,0.2952640509615361
L100000101307,Binzhou Boxing power station,Shandong,37.27629,118.330855,0,,0,2019,1,2019Q1,0.2213580284819558,0.2133333534002304,27,0.4098970721251125
L100000101316,Datang Dongying power station,Shandong,38.113151,118.910229,0,,0,2019,1,2019Q1,-0.0060751421842724,0.051964284852147,32,0.5129094846139809
L100000101332,Guohua Shouguang power station,Shandong,37.269686,118.906738,0,,0,2019,1,2019Q1,0.2222800053656101,0.2083333134651184,25,0.4257989611365518
L100000101339,Huadian Laizhou power station,Shandong,37.432222,120.018056,0,,0,2019,1,2019Q1,0.1495961576270369,0.1689999923110008,26,0.3448332890472678
L100000101341,Shiliquan power station,Shandong,34.814444,117.573056,0,,0,2019,1,2019Q1,0.163884524104651,0.1914285793900489,20,0.3217078180492426
L100000101342,Huadian Weifang power station,Shandong,36.6656392,119.2632115,0,,0,2019,1,2019Q1,0.0935439574174009,0.0412500025704503,26,0.3969135311666344
L100000101344,Huaneng Dezhou power station,Shandong,37.449349,116.2415516,0,,0,2019,1,2019Q1,0.0853733377158641,0.0766666606068611,25,0.4572692524338623
L100000101348,Huaneng Laiwu power station,Shandong,36.1342702,117.6849675,0,,0,2019,1,2019Q1,0.1285099840062039,0.0857142806053161,31,0.3343458093512036
L100000101383,Rizhao power station,Shandong,35.3454727,119.5104761,0,,0,2019,1,2019Q1,0.0687066335896296,0.0749999955296516,28,0.3311591533267899
L100000101399,Shiheng-2 power station,Shandong,36.2123187,116.5136301,0,,0,2019,1,2019Q1,0.0630750035867095,0.1290000081062316,20,0.4366885143717675
L100000101409,Weihai power station,Shandong,37.44899,122.20724,0,,0,2019,1,2019Q1,0.0298888903214699,0.0170000004582106,36,0.3405833392969407
L100000101415,Weiqiao Huji power station,Shandong,37.347901,117.781587,0,,0,2019,1,2019Q1,0.2078267638410987,0.1839999854564666,29,0.3734662027775976
