date,gem_location_id,plant_name,province,latitude,longitude,treated,pilot,cohort_year,product,version,value_mean,n_valid_pixels
2026-06-14,L100000101444,Shanghai Caojing power station,Shanghai,30.76073,121.4008,1,SH_pilot,2013.0,OMSO2e,4,,0
2026-06-14,L100000101447,Shanghai Shidongkou power station,Shanghai,31.4650719,121.4048433,1,SH_pilot,2013.0,OMSO2e,4,,0
2026-06-14,L100000101448,Waigaoqiao power station,Shanghai,31.3536333,121.6002746,1,SH_pilot,2013.0,OMSO2e,4,,0
2026-06-14,L100000101515,Shanxi Zhaoguang power station,Shanxi,36.5537987,111.6917736,0,,,OMSO2e,4,-0.0159999970346689,5
2026-06-14,L100000101518,Shenhua Hequ power station,Shanxi,39.3830746,111.1843014,0,,,OMSO2e,4,-0.1671428680419922,7
2026-06-14,L100000101519,Shentou power station,Shanxi,39.550981,112.488736,0,,,OMSO2e,4,0.3300000131130218,6
2026-06-14,L100000101529,Tongmei Tashan power station,Shanxi,39.9249917,113.0839199,0,,,OMSO2e,4,0.3014285862445831,7
2026-06-14,L100000101542,Xishan Gujiao power station,Shanxi,37.8952266,112.0930982,0,,,OMSO2e,4,-0.0766666606068611,6
2026-06-14,L100000101543,Yangcheng power station,Shanxi,35.466123,112.5742039,0,,,OMSO2e,4,0.6350000500679016,6
2026-06-14,L100000101551,Yuguang Coal power station,Shanxi,38.078135,113.482791,0,,,OMSO2e,4,0.0671428516507148,7
2026-06-14,L100000101554,Zhangshan power station,Shanxi,36.326115,113.081402,0,,,OMSO2e,4,-0.1366666555404663,6
2026-06-14,L100000101555,Changzhi power station,Shanxi,36.3226498,113.0816012,0,,,OMSO2e,4,-0.1366666555404663,6
2026-06-14,L100000101567,Guang'an power station,Sichuan,30.5288201,106.8264802,0,,,OMSO2e,4,,0
2026-06-14,L100000101580,Tianming power station,Sichuan,31.869616,104.910148,0,,,OMSO2e,4,,0
2026-06-14,L100000101588,Panshan power station,Tianjin,39.9801382,117.4630704,1,TJ_pilot,2013.0,OMSO2e,4,,0
2026-06-14,L100000101589,Tianjin Beijiang power station,Tianjin,39.2193209,117.9298639,1,TJ_pilot,2013.0,OMSO2e,4,-0.0639999881386756,5
2026-06-14,L100000101617,East Hope Metals Wucaiwan power station,Xinjiang,44.6829461,89.1158667,0,,,OMSO2e,4,0.1150000020861625,6
2026-06-14,L100000101668,Xinjiang Qiya Smelter power station,Xinjiang,44.8955881,89.049629,0,,,OMSO2e,4,0.0771428570151329,7
2026-06-14,L100000101675,Shenhua Guoneng Hami power station,Xinjiang,42.411226,93.009166,0,,,OMSO2e,4,,0
2026-06-14,L100000101677,Shenhua Zhundong Wucaiwan power station,Xinjiang,44.795533,89.149825,0,,,OMSO2e,4,0.1219999939203262,5
2026-06-14,L100000101681,Tianchi Changji cogen power station,Xinjiang,44.004362,87.171961,0,,,OMSO2e,4,,0
2026-06-14,L100000101682,Tianchi Energy Zhundong Wucaiwan power station,Xinjiang,44.8524482,89.1959171,0,,,OMSO2e,4,-0.0271428525447845,7
2026-06-14,L100000101696,Wucaiwan Bei'er power station,Xinjiang,44.8388927,89.1908616,0,,,OMSO2e,4,-0.0137500017881393,8
2026-06-14,L100000101697,Wujiaqu power station,Xinjiang,44.26892,87.687877,0,,,OMSO2e,4,,0
2026-06-14,L100000101709,XPCC Shihezi Cogen power station,Xinjiang,44.428094,86.093609,0,,,OMSO2e,4,,0
2026-06-14,L100000101716,Diandong power station,Yunnan,25.19943,104.6819,0,,,OMSO2e,4,,0
2026-06-14,L100000101730,Wushashan power station,Zhejiang,29.505411,121.662934,0,,,OMSO2e,4,,0
2026-06-14,L100000101731,Beilun power station,Zhejiang,29.9427256,121.8131207,0,,,OMSO2e,4,,0
2026-06-14,L100000101732,Guohua Zhoushan power station,Zhejiang,30.103996,122.184817,0,,,OMSO2e,4,,0
2026-06-14,L100000101736,Yuhuan power station,Zhejiang,28.1151529,121.1391369,0,,,OMSO2e,4,-0.0900000035762786,3
2026-06-14,L100000101737,China Resources Wenzhou power station,Zhejiang,27.4974228,120.6631851,0,,,OMSO2e,4,,0
2026-06-14,L100000101739,Jiaxing power station,Zhejiang,30.62804,121.14422,0,,,OMSO2e,4,,0
2026-06-14,L100000101742,Lanxi power station,Zhejiang,29.1866175,119.5068449,0,,,OMSO2e,4,,0
2026-06-14,L100000101747,Ninghai power station,Zhejiang,29.4817622,121.5114792,0,,,OMSO2e,4,,0
2026-06-14,L100000101750,Zhejiang Taizhou-2 power station,Zhejiang,29.012395,121.695507,0,,,OMSO2e,4,,0
2026-06-14,L100000101761,Zheneng Liuheng power station,Zhejiang,29.7593387,122.1266091,0,,,OMSO2e,4,,0
2026-06-14,L100000101762,Zheneng Wenzhou power station,Zhejiang,27.9957103,120.8358582,0,,,OMSO2e,4,0.0833333358168602,6
2026-06-14,L100000101763,Zheneng Yueqing power station,Zhejiang,28.1704074,121.0889375,0,,,OMSO2e,4,-0.0900000035762786,3
2026-06-14,L100000104506,Fu County power station,Shaanxi,35.858656,109.2167,0,,,OMSO2e,4,,0
2026-06-14,L100000104758,Hubei Yicheng power station,Hubei,31.781843,112.129461,1,HB_pilot,2014.0,OMSO2e,4,,0
2026-06-14,L100000104917,Shanggao power station,Jiangxi,28.185566,114.825697,0,,,OMSO2e,4,,0
2026-06-14,L100000104944,Hami-Chongqing UHV Transmission Line power station,Xinjiang,44.53792,92.926001,0,,,OMSO2e,4,,0
2026-06-14,L100000104970,Jiangsu Guoxin Shazhou power station,Jiangsu,31.985654,120.684419,0,,,OMSO2e,4,,0
2026-06-14,L100000105025,Datong-2 power station,Shanxi,40.0279118,113.2933181,0,,,OMSO2e,4,0.0416666679084301,6
2026-06-13,L100000100200,Anhui Bengbu power station,Anhui,32.78444,117.11472,0,,,OMSO2e,4,,0
2026-06-13,L100000100201,Anhui Huainan Panji power station,Anhui,32.76917,116.759595,0,,,OMSO2e,4,,0
2026-06-13,L100000100205,Chizhou Jiuhua power station,Anhui,30.7531097,117.5906618,0,,,OMSO2e,4,,0
2026-06-13,L100000100206,Pingwei power station,Anhui,32.68417,116.901389,0,,,OMSO2e,4,,0
